>>>
>>>
>>>
>>> from main import *
I2C devices: ['0x1e', '0x68']
MPU6050 OK @ 0x68  [+/-8g, +/-2000dps, 50Hz]
HMC5883L OK @ 0x1E  [+/-1.3Ga, 15Hz, 8-avg]
# Ready. 9-channel HAR firmware.
#   test()               — single reading
#   calibrate_mag(sec)   — mag ellipsoid data collection
#   collect('label', sec)  — activity data collection
>>>
calibrate_mag(60)
# MAG_CALIB 60s 3000samples
# sample,mx,my,mz
273,1.8349,-39.6330,0.6422
274,1.8349,-39.6330,0.6422
275,1.8349,-39.6330,0.6422
276,11.6514,-37.6147,-8.3486
277,11.6514,-37.6147,-8.3486
278,11.6514,-37.6147,-8.3486
279,18.8073,-28.7156,-18.6239
280,18.8073,-28.7156,-18.6239
281,18.8073,-28.7156,-18.6239
282,22.1101,-22.5688,-21.2844
283,22.1101,-22.5688,-21.2844
284,22.1101,-22.5688,-21.2844
285,22.1101,-22.5688,-21.2844
286,23.3028,-17.4312,-23.0275
287,23.3028,-17.4312,-23.0275
288,23.3028,-17.4312,-23.0275
289,22.5688,-14.4954,-24.4037
290,22.5688,-14.4954,-24.4037
291,22.5688,-14.4954,-24.4037
292,20.6422,-12.2936,-25.8716
293,20.6422,-12.2936,-25.8716
294,20.6422,-12.2936,-25.8716
295,20.6422,-12.2936,-25.8716
296,17.7064,-13.0275,-26.8807
297,17.7064,-13.0275,-26.8807
298,17.7064,-13.0275,-26.8807
299,13.1193,-20.8257,-25.1376
300,13.1193,-20.8257,-25.1376
301,13.1193,-20.8257,-25.1376
302,7.4312,-32.0184,-17.1560
303,7.4312,-32.0184,-17.1560
304,7.4312,-32.0184,-17.1560
305,7.4312,-32.0184,-17.1560
306,4.1284,-37.8899,-5.6881
307,4.1284,-37.8899,-5.6881
308,4.1284,-37.8899,-5.6881
309,6.1468,-38.8991,3.8532
310,6.1468,-38.8991,3.8532
311,6.1468,-38.8991,3.8532
312,9.8165,-36.9725,10.7339
313,9.8165,-36.9725,10.7339
314,9.8165,-36.9725,10.7339
315,9.8165,-36.9725,10.7339
316,13.2110,-33.5780,16.5138
317,13.2110,-33.5780,16.5138
318,13.2110,-33.5780,16.5138
319,18.2569,-23.8532,23.6697
320,18.2569,-23.8532,23.6697
321,18.2569,-23.8532,23.6697
322,23.3945,-12.7523,25.7798
323,23.3945,-12.7523,25.7798
324,23.3945,-12.7523,25.7798
325,23.3945,-12.7523,25.7798
326,25.5963,-6.8807,25.2294
327,25.5963,-6.8807,25.2294
328,25.5963,-6.8807,25.2294
329,25.6881,-2.6606,24.9541
330,25.6881,-2.6606,24.9541
331,25.6881,-2.6606,24.9541
332,25.9633,3.9450,23.2110
333,25.9633,3.9450,23.2110
334,25.9633,3.9450,23.2110
335,25.9633,3.9450,23.2110
336,25.8716,9.5413,20.7339
337,25.8716,9.5413,20.7339
338,25.8716,9.5413,20.7339
339,25.2294,13.9450,17.7982
340,25.2294,13.9450,17.7982
341,25.2294,13.9450,17.7982
342,21.7431,17.7982,13.7615
343,21.7431,17.7982,13.7615
344,21.7431,17.7982,13.7615
345,21.7431,17.7982,13.7615
346,17.6147,18.1651,9.9083
347,17.6147,18.1651,9.9083
348,17.6147,18.1651,9.9083
349,14.4037,23.1193,7.6147
350,14.4037,23.1193,7.6147
351,14.4037,23.1193,7.6147
352,7.3394,27.0642,4.6789
353,7.3394,27.0642,4.6789
354,7.3394,27.0642,4.6789
