I2C scan: ['0x68']
MPU6050 OK @ 0x68, +/-8g, +/-2000dps, 50Hz
# Ready.
# Commands: test(), collect('<label>', seconds)
MicroPython v1.24.1 on 2024-11-29; Generic ESP32S3 module with ESP32S3
Type "help()" for more information.
>>> ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3820,len:0x105c
load:0x403c9700,len:0x4
load:0x403c9704,len:0xbd8
load:0x403cc700,len:0x2e34
entry 0x403c989c
[0;31mE (289) quad_psram: PSRAM ID read error: 0x00ffffff, PSRAM chip not found or not supported, or wrong PSRAM line mode[0m
[0;31mE (289) esp_psram: PSRAM enabled but initialization failed. Bailing out.[0m
I2C scan: ['0x68']
MPU6050 OK @ 0x68, +/-8g, +/-2000dps, 50Hz
# Ready.
# Commands: test(), collect('<label>', seconds)
MicroPython v1.24.1 on 2024-11-29; Generic ESP32S3 module with ESP32S3
Type "help()" for more information.
>>>
collect('+Z_down', 5)
# COLLECT +Z_down 5s 250samples
# sample,ax,ay,az,gx,gy,gz,label
120,0.32561,0.24660,9.58160,-4.2683,-1.5854,1.0366,+Z_down
121,0.33758,0.24660,9.59357,-4.2073,-1.4634,1.1585,+Z_down
122,0.31125,0.24900,9.62230,-4.1463,-1.2195,1.0976,+Z_down
123,0.30646,0.24900,9.65821,-4.2073,-1.0976,0.7927,+Z_down
124,0.27054,0.25139,9.63906,-4.4512,-1.1585,0.7927,+Z_down
125,0.28970,0.24900,9.61272,-4.5732,-1.4634,1.0366,+Z_down
126,0.31364,0.22984,9.60793,-4.5122,-1.9512,1.0976,+Z_down
127,0.36871,0.21787,9.59357,-4.3902,-1.8293,0.7927,+Z_down
128,0.33758,0.23463,9.59357,-4.0854,-1.4024,0.9146,+Z_down
129,0.27773,0.25618,9.65103,-3.9024,-1.0366,1.2195,+Z_down
130,0.26097,0.24660,9.64624,-4.1463,-0.9756,1.3415,+Z_down
131,0.31843,0.22505,9.60554,-4.3293,-1.4024,1.5244,+Z_down
132,0.38307,0.21787,9.56723,-4.1463,-1.7073,2.0732,+Z_down
133,0.36631,0.23463,9.58399,-3.7805,-1.3415,2.1341,+Z_down
134,0.29449,0.24421,9.62469,-3.5976,-0.5488,1.6463,+Z_down
135,0.27773,0.24421,9.62708,-3.5366,-0.4268,1.0366,+Z_down
136,0.29688,0.26576,9.64624,-3.5976,-0.4268,1.0366,+Z_down
137,0.29449,0.28252,9.66300,-3.7805,-0.7927,1.4024,+Z_down
138,0.30406,0.24181,9.62469,-4.1463,-1.4024,1.5244,+Z_down
139,0.36392,0.21548,9.56484,-4.1463,-1.9512,1.4024,+Z_down
140,0.33279,0.25379,9.62948,-3.7805,-1.9512,1.5244,+Z_down
141,0.28252,0.28730,9.67257,-3.8415,-1.0976,1.3415,+Z_down
142,0.32322,0.24181,9.59835,-4.5732,-2.0732,0.8537,+Z_down
143,0.34955,0.22505,9.60793,-4.5122,-2.9268,1.0366,+Z_down
144,0.34955,0.22505,9.60793,-4.5122,-2.9268,1.0366,+Z_down
145,0.27773,0.24900,9.63906,-4.3293,-2.1341,1.2195,+Z_down
146,0.30406,0.25139,9.61990,-4.5122,-1.7073,0.9756,+Z_down
147,0.34955,0.26336,9.61751,-4.5122,-1.7683,0.7927,+Z_down
148,0.37110,0.26815,9.59357,-4.5122,-1.5244,0.7317,+Z_down
149,0.34955,0.24421,9.57920,-4.3902,-1.5244,0.3049,+Z_down
150,0.30646,0.25139,9.61990,-4.4512,-1.3415,0.0000,+Z_down
151,0.30167,0.26097,9.63187,-4.5732,-1.1585,-0.1220,+Z_down
152,0.32561,0.26815,9.60075,-4.6951,-1.4634,0.1829,+Z_down
153,0.36392,0.25379,9.58399,-4.6341,-2.1951,0.1829,+Z_down
154,0.39744,0.24660,9.60075,-4.4512,-2.0732,0.0610,+Z_down
155,0.32082,0.26097,9.64384,-4.3902,-1.1585,0.1829,+Z_down
156,0.29928,0.25379,9.63427,-4.6341,-0.7317,0.2439,+Z_down
157,0.32082,0.22505,9.59357,-4.8171,-1.5854,0.0000,+Z_down
158,0.35674,0.22027,9.59835,-4.8171,-2.5610,-0.1220,+Z_down
159,0.41420,0.23463,9.57441,-4.6341,-2.4390,0.2439,+Z_down
160,0.37589,0.23463,9.61511,-4.3902,-1.4024,0.5488,+Z_down
161,0.31843,0.22505,9.61751,-4.2683,-0.4268,0.4878,+Z_down
162,0.28970,0.22984,9.60793,-4.2683,-0.6098,0.3659,+Z_down
163,0.32082,0.23224,9.61511,-4.2073,-1.6463,0.3049,+Z_down
164,0.39744,0.21548,9.58638,-4.2073,-1.9512,0.3659,+Z_down
165,0.41899,0.21069,9.57681,-4.0244,-1.2805,0.6098,+Z_down
166,0.36152,0.25618,9.63427,-3.7195,-0.1220,0.9146,+Z_down
167,0.25379,0.28970,9.66300,-3.8415,0.0000,0.8537,+Z_down
168,0.28252,0.24900,9.61990,-4.3293,-0.9756,0.7317,+Z_down
169,0.37828,0.21308,9.58160,-4.5732,-1.8293,0.7927,+Z_down
170,0.43574,0.22027,9.57920,-4.3293,-1.4634,1.1585,+Z_down
171,0.36631,0.25139,9.63187,-4.0244,-0.2439,1.3415,+Z_down
172,0.22984,0.25857,9.65582,-4.0244,0.2439,1.5854,+Z_down
173,0.26336,0.24181,9.62469,-4.2683,-0.7317,1.2195,+Z_down
174,0.37110,0.22745,9.60793,-4.3902,-1.7683,1.3415,+Z_down
175,0.38786,0.23463,9.58878,-4.2073,-1.4634,2.1951,+Z_down
176,0.42856,0.24900,9.58638,-3.9634,-0.7927,1.7683,+Z_down
177,0.34237,0.26097,9.64863,-3.7805,-0.1220,1.2195,+Z_down
178,0.27294,0.28730,9.69173,-3.9024,-0.2439,1.4024,+Z_down
179,0.26097,0.24900,9.62708,-4.3902,-0.7927,1.5244,+Z_down
180,0.32561,0.23942,9.61751,-4.6341,-1.2195,0.6098,+Z_down
181,0.35434,0.24181,9.60314,-4.6341,-1.1585,0.3659,+Z_down
182,0.36871,0.25139,9.58160,-4.3902,-1.0366,0.1220,+Z_down
183,0.33040,0.27773,9.64863,-4.2073,-1.2195,0.1829,+Z_down
184,0.29449,0.27773,9.64145,-4.3902,-1.1585,0.3659,+Z_down
185,0.29209,0.23224,9.58878,-4.5732,-1.0976,0.4878,+Z_down
186,0.34955,0.21069,9.56244,-4.4512,-1.2195,0.6098,+Z_down
187,0.35434,0.24900,9.67018,-4.0854,-1.2195,0.6707,+Z_down
188,0.33998,0.27054,9.62230,-4.0854,-1.2805,0.7927,+Z_down
189,0.30646,0.26815,9.65582,-4.2073,-0.9146,0.7317,+Z_down
190,0.34477,0.23463,9.59357,-4.3902,-0.6098,0.4878,+Z_down
191,0.32801,0.22266,9.61033,-4.2073,-0.7317,0.5488,+Z_down
192,0.29209,0.22266,9.65821,-4.0854,-0.9756,0.4268,+Z_down
193,0.28970,0.22745,9.65342,-4.1463,-0.9146,0.1220,+Z_down
194,0.29688,0.26576,9.64384,-4.2683,-0.9756,-0.1829,+Z_down
195,0.32082,0.30167,9.64624,-4.5122,-1.6463,-0.2439,+Z_down
196,0.37110,0.26097,9.60554,-4.8171,-2.3171,-0.2439,+Z_down
197,0.40941,0.20111,9.56962,-4.7561,-2.0122,0.1220,+Z_down
198,0.37110,0.20830,9.58160,-4.2683,-0.8537,0.7927,+Z_down
199,0.33279,0.24900,9.62948,-3.8415,-0.2439,1.2195,+Z_down
200,0.28012,0.23463,9.62948,-3.8415,-0.4268,1.4024,+Z_down
201,0.30167,0.21069,9.59835,-3.9024,-0.7927,0.9146,+Z_down
202,0.35195,0.22984,9.59117,-3.7195,-1.0976,0.9146,+Z_down
203,0.34477,0.29209,9.63906,-3.5366,-0.9146,1.4024,+Z_down
204,0.29688,0.28252,9.65342,-3.7805,-0.6098,1.1585,+Z_down
205,0.28252,0.23942,9.62230,-4.1463,-0.5488,0.6098,+Z_down
206,0.30646,0.22745,9.60793,-4.2683,-1.1585,0.6098,+Z_down
207,0.31125,0.24900,9.62469,-4.1463,-1.7683,0.7927,+Z_down
208,0.30646,0.26336,9.63187,-4.2683,-1.8902,0.7927,+Z_down
209,0.30406,0.24900,9.61511,-4.3902,-1.7683,0.5488,+Z_down
210,0.32322,0.23942,9.61751,-4.3902,-1.6463,0.3049,+Z_down
211,0.35674,0.27054,9.63427,-4.3293,-1.4024,0.4268,+Z_down
212,0.34716,0.28012,9.60793,-4.3902,-1.2805,0.4878,+Z_down
213,0.35674,0.24900,9.58878,-4.4512,-1.2195,0.3659,+Z_down
214,0.32801,0.22984,9.60793,-4.3293,-1.2195,0.4878,+Z_down
215,0.31843,0.25139,9.64145,-4.1463,-1.1585,0.3659,+Z_down
216,0.30885,0.27533,9.62469,-4.2073,-1.1585,0.1829,+Z_down
217,0.33040,0.27294,9.62708,-4.3293,-1.4024,0.3659,+Z_down
218,0.34477,0.24421,9.60793,-4.4512,-1.5854,0.5488,+Z_down
219,0.32561,0.21548,9.60554,-4.4512,-1.5854,0.3049,+Z_down
220,0.28970,0.21548,9.62948,-4.3902,-1.5854,-0.0610,+Z_down
221,0.29928,0.23703,9.62708,-4.4512,-1.7073,-0.4878,+Z_down
222,0.33519,0.25857,9.61990,-4.5732,-2.0122,-0.6098,+Z_down
223,0.35674,0.25857,9.63187,-4.6951,-2.1341,-0.3659,+Z_down
224,0.33758,0.24660,9.62708,-4.7561,-2.0732,-0.2439,+Z_down
225,0.35434,0.22027,9.58160,-4.8780,-2.1341,-0.3049,+Z_down
226,0.38786,0.22027,9.59835,-4.7561,-2.2561,-0.1829,+Z_down
227,0.35913,0.22266,9.60554,-4.3902,-1.4634,0.2439,+Z_down
228,0.32322,0.21069,9.61751,-4.2683,-1.0976,0.3049,+Z_down
229,0.33519,0.21069,9.58638,-4.0854,-0.9146,0.3049,+Z_down
230,0.33519,0.21069,9.58638,-4.0854,-0.9146,0.3049,+Z_down
231,0.34477,0.28491,9.66779,-3.9024,-1.2805,0.5488,+Z_down
232,0.35195,0.26336,9.63187,-4.3293,-1.0976,0.3659,+Z_down
233,0.37110,0.22984,9.58878,-4.5122,-1.0976,0.3659,+Z_down
234,0.34237,0.22027,9.58638,-4.3293,-1.2805,0.4268,+Z_down
235,0.35434,0.23703,9.61511,-4.0854,-1.2805,0.5488,+Z_down
236,0.35674,0.24421,9.63666,-4.0244,-1.2805,0.7927,+Z_down
237,0.36631,0.24660,9.62230,-4.0244,-1.1585,1.0976,+Z_down
238,0.36152,0.23224,9.61511,-4.0854,-0.8537,1.0976,+Z_down
239,0.33998,0.22745,9.60554,-4.0854,-0.6707,1.0366,+Z_down
240,0.33998,0.23463,9.61272,-4.0244,-0.6707,0.5488,+Z_down
241,0.33279,0.25139,9.62708,-3.9634,-0.9146,0.4878,+Z_down
242,0.32561,0.25857,9.65342,-3.9634,-1.1585,0.6707,+Z_down
243,0.33998,0.23942,9.63906,-4.0854,-1.2805,0.8537,+Z_down
244,0.33758,0.23703,9.61990,-4.0244,-1.5244,1.0976,+Z_down
245,0.33040,0.24900,9.62708,-3.9634,-1.5244,1.0976,+Z_down
246,0.35674,0.27294,9.62230,-4.0244,-1.2805,0.7927,+Z_down
247,0.34716,0.28012,9.64384,-4.1463,-1.1585,0.3659,+Z_down
248,0.33279,0.27054,9.64384,-4.3902,-1.2805,0.0610,+Z_down
249,0.33040,0.24181,9.64145,-4.6341,-1.4024,0.1220,+Z_down
# DONE +Z_down 250samples 5.0s
>>>
collect('-Z_up', 5)
# COLLECT -Z_up 5s 250samples
# sample,ax,ay,az,gx,gy,gz,label
0,0.59616,-0.34237,-10.36929,4.7561,-3.5366,2.9268,-Z_up
1,0.58897,-0.36152,-10.36450,1.5244,-3.0488,2.0122,-Z_up
2,0.56743,-0.35913,-10.37168,-2.1341,-3.7195,1.0366,-Z_up
3,0.56982,-0.35434,-10.34295,-4.9390,-5.0610,0.3049,-Z_up
4,0.54348,-0.33519,-10.35253,-6.2805,-7.2561,-0.1829,-Z_up
5,0.51715,-0.33998,-10.37408,-5.1829,-7.8049,-0.2439,-Z_up
6,0.50518,-0.34955,-10.37408,-4.3902,-6.4024,-0.2439,-Z_up
7,0.49799,-0.35913,-10.37647,-5.0000,-5.0610,-0.0610,-Z_up
8,0.48842,-0.33998,-10.37647,-5.6707,-4.8780,0.1220,-Z_up
9,0.46926,-0.33998,-10.37886,-6.4024,-5.7317,0.3659,-Z_up
10,0.44772,-0.32082,-10.38365,-7.2561,-6.1585,0.4878,-Z_up
11,0.42856,-0.30885,-10.37168,-6.8902,-5.2439,0.4268,-Z_up
12,0.41899,-0.30646,-10.36689,-5.9146,-4.1463,0.3659,-Z_up
13,0.41420,-0.31125,-10.35971,-5.6707,-3.8415,0.3049,-Z_up
14,0.41180,-0.29928,-10.37886,-5.4268,-3.3537,0.3659,-Z_up
15,0.39744,-0.29928,-10.37408,-5.2439,-3.3537,0.6098,-Z_up
16,0.38307,-0.29928,-10.37168,-5.3659,-3.1707,0.7927,-Z_up
17,0.38068,-0.27773,-10.37408,-5.0610,-1.8902,0.7927,-Z_up
18,0.39025,-0.28970,-10.38126,-4.2073,-0.7927,0.9146,-Z_up
19,0.39983,-0.29928,-10.37647,-3.9024,-1.6463,0.9756,-Z_up
20,0.38307,-0.29449,-10.37168,-4.8171,-3.9024,0.9146,-Z_up
21,0.35913,-0.28730,-10.39084,-5.7927,-5.0000,0.7927,-Z_up
22,0.35195,-0.28252,-10.38844,-5.9756,-4.0244,0.8537,-Z_up
23,0.34716,-0.28252,-10.38605,-5.6098,-2.1951,1.0976,-Z_up
24,0.35434,-0.27773,-10.36450,-5.3659,-1.6463,1.2805,-Z_up
25,0.34716,-0.27054,-10.35971,-4.8171,-2.1951,1.2195,-Z_up
26,0.34237,-0.25857,-10.37408,-3.4756,-2.1951,0.8537,-Z_up
27,0.33758,-0.27533,-10.37408,-2.1341,-1.9512,0.6707,-Z_up
28,0.33998,-0.28252,-10.36929,-1.9512,-1.9512,0.7317,-Z_up
29,0.33279,-0.28970,-10.37647,-2.7439,-1.7683,0.7927,-Z_up
30,0.33279,-0.29688,-10.37408,-3.8415,-0.3659,0.8537,-Z_up
31,0.34716,-0.30646,-10.36450,-4.4512,1.0366,1.0366,-Z_up
32,0.34477,-0.30646,-10.36929,-5.6098,0.1220,0.8537,-Z_up
33,0.34477,-0.28970,-10.37168,-6.7683,-1.5854,0.5488,-Z_up
34,0.33998,-0.27533,-10.38126,-6.9512,-2.5610,0.3659,-Z_up
35,0.34237,-0.27054,-10.38605,-5.7927,-2.1951,0.3659,-Z_up
36,0.35195,-0.27054,-10.37886,-4.5732,-0.9146,0.5488,-Z_up
37,0.35913,-0.26815,-10.37647,-4.2683,-0.4878,0.6098,-Z_up
38,0.34716,-0.26576,-10.38126,-4.5122,-1.2195,0.6707,-Z_up
39,0.34477,-0.27773,-10.37647,-4.2073,-1.7683,0.5488,-Z_up
40,0.33998,-0.27773,-10.38365,-3.8415,-2.4390,0.2439,-Z_up
41,0.34477,-0.27294,-10.38126,-4.0244,-2.8659,-0.0610,-Z_up
42,0.33040,-0.26815,-10.38844,-4.1463,-3.2317,-0.1829,-Z_up
43,0.31843,-0.26815,-10.38605,-3.8415,-3.4756,-0.1220,-Z_up
44,0.31603,-0.27533,-10.38605,-3.4756,-2.9878,0.3659,-Z_up
45,0.30406,-0.28252,-10.37408,-3.8415,-2.6220,0.7317,-Z_up
46,0.30406,-0.27773,-10.37886,-4.5122,-3.2317,0.6707,-Z_up
